id,age1,salary,Num_Citylived,jobtype,dv_jt_other,dv_jt_govt,dv_jt_biz,dv_jt_pvt,Payer,dv_payer_parents,dv_payer_self,dv_payer_company,ClsRelativesCnt,Travel,dv_travel_low,dv_travel_medium,dv_travel_high,RelativesAbroad,dv_Rel_yes,dv_Rel_No,AvgBill
2971,63,100000,2,Other,Yes,No,No,No,Self,No,Yes,No,1,Medium,No,Yes,No,No,No,Yes,535.5
2972,35,40000,1,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,543.25
2973,25,60000,2,Other,Yes,No,No,No,Company,No,No,Yes,1,High,No,No,Yes,No,No,Yes,593.75
2974,35,100000,4,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,685
2975,37,80000,3,Other,Yes,No,No,No,Company,No,No,Yes,1,High,No,No,Yes,No,No,Yes,567
2976,28,80000,1,Private,No,No,No,Yes,Company,No,No,Yes,3,High,No,No,Yes,No,No,Yes,612
2977,50,80000,3,Other,Yes,No,No,No,Company,No,No,Yes,1,High,No,No,Yes,No,No,Yes,574
2978,28,60000,4,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,650
2979,41,40000,3,Business,No,No,Yes,No,Company,No,No,Yes,4,High,No,No,Yes,Yes,Yes,No,688
2980,45,80000,1,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,465.25
2981,32,80000,3,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,666.25
2982,60,80000,1,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,467.75
2983,40,60000,2,Government,No,Yes,No,No,Company,No,No,Yes,2,High,No,No,Yes,Yes,Yes,No,613.75
2984,65,100000,4,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,718.5
2985,60,60000,2,Government,No,Yes,No,No,Company,No,No,Yes,2,High,No,No,Yes,Yes,Yes,No,510.25
2986,50,40000,1,Other,Yes,No,No,No,Self,No,Yes,No,1,Medium,No,Yes,No,No,No,Yes,370.25
2987,38,60000,4,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,672
2988,28,80000,3,Government,No,Yes,No,No,Company,No,No,Yes,2,High,No,No,Yes,Yes,Yes,No,615
2989,40,80000,3,Government,No,Yes,No,No,Company,No,No,Yes,2,High,No,No,Yes,Yes,Yes,No,566
2990,52,60000,4,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,581
2991,46,80000,3,Other,Yes,No,No,No,Self,No,Yes,No,1,Medium,No,Yes,No,No,No,Yes,491.25
2992,61,100000,4,Government,No,Yes,No,No,Company,No,No,Yes,2,High,No,No,Yes,Yes,Yes,No,658.25
2993,50,80000,1,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,496.25
2994,36,100000,2,Business,No,No,Yes,No,Company,No,No,Yes,4,High,No,No,Yes,Yes,Yes,No,751.75
2995,64,40000,1,Private,No,No,No,Yes,Company,No,No,Yes,3,High,No,No,Yes,No,No,Yes,550.5
2996,23,100000,4,Other,Yes,No,No,No,Self,No,Yes,No,1,Medium,No,Yes,No,No,No,Yes,551.25
2997,38,40000,3,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,627.25
2998,64,100000,2,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,590.5
2999,56,60000,4,Other,Yes,No,No,No,Company,No,No,Yes,1,High,No,No,Yes,No,No,Yes,528.25
3000,65,100000,2,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,573.5
3001,54,40000,3,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,601.25
3002,47,60000,2,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,546
3003,30,80000,1,Other,Yes,No,No,No,Company,No,No,Yes,1,High,No,No,Yes,No,No,Yes,524
3004,58,80000,3,Private,No,No,No,Yes,Company,No,No,Yes,3,High,No,No,Yes,No,No,Yes,598.5
3005,28,80000,3,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,544.25
3006,27,100000,4,Private,No,No,No,Yes,Company,No,No,Yes,3,High,No,No,Yes,No,No,Yes,756.75
3007,25,40000,1,Business,No,No,Yes,No,Company,No,No,Yes,4,High,No,No,Yes,Yes,Yes,No,652
3008,44,100000,4,Private,No,No,No,Yes,Company,No,No,Yes,3,High,No,No,Yes,No,No,Yes,715.75
3009,43,60000,2,Business,No,No,Yes,No,Company,No,No,Yes,4,High,No,No,Yes,Yes,Yes,No,728.75
3010,60,100000,4,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,589.5
3011,35,100000,2,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,644
3012,57,60000,2,Business,No,No,Yes,No,Company,No,No,Yes,4,High,No,No,Yes,Yes,Yes,No,641.25
3013,43,100000,2,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,678
3014,29,80000,3,Business,No,No,Yes,No,Company,No,No,Yes,4,High,No,No,Yes,Yes,Yes,No,755
3015,57,80000,1,Government,No,Yes,No,No,Company,No,No,Yes,2,High,No,No,Yes,Yes,Yes,No,531.5
3016,30,60000,2,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,564
3017,50,80000,3,Business,No,No,Yes,No,Company,No,No,Yes,4,High,No,No,Yes,Yes,Yes,No,664
3018,62,60000,4,Other,Yes,No,No,No,Self,No,Yes,No,1,Medium,No,Yes,No,No,No,Yes,459.5
3019,44,80000,3,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,533.25
3020,55,80000,3,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,548.75
3021,36,100000,2,Government,No,Yes,No,No,Company,No,No,Yes,2,High,No,No,Yes,Yes,Yes,No,593.75
3022,50,40000,1,Other,Yes,No,No,No,Company,No,No,Yes,1,High,No,No,Yes,No,No,Yes,409
3023,23,100000,4,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,590.25
3024,45,60000,4,Private,No,No,No,Yes,Company,No,No,Yes,3,High,No,No,Yes,No,No,Yes,711.75
3025,51,60000,4,Private,No,No,No,Yes,Company,No,No,Yes,3,High,No,No,Yes,No,No,Yes,699.75
3026,65,100000,2,Other,Yes,No,No,No,Self,No,Yes,No,1,Medium,No,Yes,No,No,No,Yes,525.5
3027,25,40000,1,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,534.25
3028,25,60000,2,Other,Yes,No,No,No,Company,No,No,Yes,1,High,No,No,Yes,No,No,Yes,562.75
3029,57,60000,4,Private,No,No,No,Yes,Company,No,No,Yes,3,High,No,No,Yes,No,No,Yes,699.25
3030,42,60000,2,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,649
3031,23,60000,4,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,515.25
3032,25,60000,4,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,643
3033,37,80000,1,Private,No,No,No,Yes,Company,No,No,Yes,3,High,No,No,Yes,No,No,Yes,627
3034,57,60000,2,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,561.5
3035,38,40000,3,Business,No,No,Yes,No,Company,No,No,Yes,4,High,No,No,Yes,Yes,Yes,No,652
3036,50,100000,2,Private,No,No,No,Yes,Company,No,No,Yes,3,High,No,No,Yes,No,No,Yes,619.75
3037,34,80000,3,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,685.25
3038,26,100000,4,Other,Yes,No,No,No,Company,No,No,Yes,1,High,No,No,Yes,No,No,Yes,627.75
3039,35,40000,3,Business,No,No,Yes,No,Company,No,No,Yes,4,High,No,No,Yes,Yes,Yes,No,664
3040,25,100000,2,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,645
3041,37,60000,2,Government,No,Yes,No,No,Company,No,No,Yes,2,High,No,No,Yes,Yes,Yes,No,543.75
3042,24,60000,4,Business,No,No,Yes,No,Company,No,No,Yes,4,High,No,No,Yes,Yes,Yes,No,663
3043,28,100000,2,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,619
3044,61,60000,2,Government,No,Yes,No,No,Company,No,No,Yes,2,High,No,No,Yes,Yes,Yes,No,579.25
3045,60,100000,4,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,668.5
3046,27,40000,3,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,548.25
3047,29,60000,4,Business,No,No,Yes,No,Company,No,No,Yes,4,High,No,No,Yes,Yes,Yes,No,719.75
3048,36,100000,2,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,621
3049,64,40000,1,Other,Yes,No,No,No,Self,No,Yes,No,1,Medium,No,Yes,No,No,No,Yes,295.75
3050,56,60000,2,Government,No,Yes,No,No,Company,No,No,Yes,2,High,No,No,Yes,Yes,Yes,No,578.25
3051,45,60000,4,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,634
3052,25,60000,2,Other,Yes,No,No,No,Self,No,Yes,No,1,Medium,No,Yes,No,No,No,Yes,542
3053,63,60000,4,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,637.5
3054,35,60000,2,Other,Yes,No,No,No,Self,No,Yes,No,1,Medium,No,Yes,No,No,No,Yes,430
3055,42,80000,3,Government,No,Yes,No,No,Company,No,No,Yes,2,High,No,No,Yes,Yes,Yes,No,582
3056,42,40000,1,Private,No,No,No,Yes,Company,No,No,Yes,3,High,No,No,Yes,No,No,Yes,546
3057,25,80000,1,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,573.25
3058,46,40000,1,Private,No,No,No,Yes,Company,No,No,Yes,3,High,No,No,Yes,No,No,Yes,498
3059,62,80000,3,Other,Yes,No,No,No,Self,No,Yes,No,1,Medium,No,Yes,No,No,No,Yes,482.75
3060,50,80000,1,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,471.25
3061,44,40000,3,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,560.25
3062,50,60000,4,Other,Yes,No,No,No,Company,No,No,Yes,1,High,No,No,Yes,No,No,Yes,531.75
3063,52,100000,2,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,558
3064,35,40000,1,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,444.25
3065,43,100000,4,Other,Yes,No,No,No,Self,No,Yes,No,1,Medium,No,Yes,No,No,No,Yes,602
3066,53,40000,3,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,546.25
3067,56,60000,4,Other,Yes,No,No,No,Company,No,No,Yes,1,High,No,No,Yes,No,No,Yes,508.25
3068,41,60000,2,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,571
3069,46,80000,3,Private,No,No,No,Yes,Company,No,No,Yes,3,High,No,No,Yes,No,No,Yes,664
3070,63,80000,3,Private,No,No,No,Yes,Company,No,No,Yes,3,High,No,No,Yes,No,No,Yes,562.5
3071,25,60000,4,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,651
3072,51,80000,1,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,564.25
3073,55,100000,2,Other,Yes,No,No,No,Company,No,No,Yes,1,High,No,No,Yes,No,No,Yes,598.25
3074,40,60000,2,Business,No,No,Yes,No,Company,No,No,Yes,4,High,No,No,Yes,Yes,Yes,No,736.75
3075,54,100000,4,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,624
3076,55,60000,2,Business,No,No,Yes,No,Company,No,No,Yes,4,High,No,No,Yes,Yes,Yes,No,693.25
3077,29,80000,3,Business,No,No,Yes,No,Company,No,No,Yes,4,High,No,No,Yes,Yes,Yes,No,765
3078,54,60000,4,Other,Yes,No,No,No,Self,No,Yes,No,1,Medium,No,Yes,No,No,No,Yes,508
3079,53,60000,4,Other,Yes,No,No,No,Self,No,Yes,No,1,Medium,No,Yes,No,No,No,Yes,470
3080,61,100000,4,Business,No,No,Yes,No,Company,No,No,Yes,4,High,No,No,Yes,Yes,Yes,No,803.25
3081,32,100000,2,Government,No,Yes,No,No,Company,No,No,Yes,2,High,No,No,Yes,Yes,Yes,No,630.75
3082,47,40000,1,Other,Yes,No,No,No,Company,No,No,Yes,1,High,No,No,Yes,No,No,Yes,453
3083,48,100000,2,Government,No,Yes,No,No,Company,No,No,Yes,2,High,No,No,Yes,Yes,Yes,No,585.75
3084,38,40000,3,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,468.25
3085,33,100000,4,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,687
3086,50,40000,3,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,435.25
3087,65,100000,2,Other,Yes,No,No,No,Self,No,Yes,No,1,Medium,No,Yes,No,No,No,Yes,504.5
3088,25,40000,1,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,516.25
3089,35,60000,2,Other,Yes,No,No,No,Company,No,No,Yes,1,High,No,No,Yes,No,No,Yes,527.75
3090,51,40000,3,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,476.25
3091,55,60000,4,Private,No,No,No,Yes,Company,No,No,Yes,3,High,No,No,Yes,No,No,Yes,695.25
3092,47,60000,2,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,589
3093,46,80000,3,Other,Yes,No,No,No,Company,No,No,Yes,1,High,No,No,Yes,No,No,Yes,546
3094,22,60000,4,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,482.25
3095,59,60000,2,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,595.5
3096,50,80000,1,Private,No,No,No,Yes,Company,No,No,Yes,3,High,No,No,Yes,No,No,Yes,576
3097,38,40000,3,Business,No,No,Yes,No,Company,No,No,Yes,4,High,No,No,Yes,Yes,Yes,No,648
3098,35,80000,1,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,434.25
3099,25,80000,3,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,617.25
3100,34,100000,4,Other,Yes,No,No,No,Company,No,No,Yes,1,High,No,No,Yes,No,No,Yes,672.75
3101,62,100000,2,Private,No,No,No,Yes,Company,No,No,Yes,3,High,No,No,Yes,No,No,Yes,657.25
3102,56,40000,3,Business,No,No,Yes,No,Company,No,No,Yes,4,High,No,No,Yes,Yes,Yes,No,600.5
3103,39,40000,1,Other,Yes,No,No,No,Self,No,Yes,No,1,Medium,No,Yes,No,No,No,Yes,397.25
3104,51,100000,4,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,727
3105,29,40000,3,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,541.25
3106,25,60000,4,Business,No,No,Yes,No,Company,No,No,Yes,4,High,No,No,Yes,Yes,Yes,No,780.75
3107,52,40000,1,Other,Yes,No,No,No,Self,No,Yes,No,1,Medium,No,Yes,No,No,No,Yes,378.25
3108,51,60000,2,Government,No,Yes,No,No,Company,No,No,Yes,2,High,No,No,Yes,Yes,Yes,No,577.75
3109,43,60000,4,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,600
3110,33,80000,3,Government,No,Yes,No,No,Company,No,No,Yes,2,High,No,No,Yes,Yes,Yes,No,647
3111,51,60000,4,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,591
3112,31,60000,2,Other,Yes,No,No,No,Self,No,Yes,No,1,Medium,No,Yes,No,No,No,Yes,453
3113,48,80000,3,Government,No,Yes,No,No,Company,No,No,Yes,2,High,No,No,Yes,Yes,Yes,No,573
3114,61,60000,4,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,568.5
3115,45,40000,1,Private,No,No,No,Yes,Company,No,No,Yes,3,High,No,No,Yes,No,No,Yes,508
3116,39,80000,3,Other,Yes,No,No,No,Self,No,Yes,No,1,Medium,No,Yes,No,No,No,Yes,435.25
3117,51,100000,4,Government,No,Yes,No,No,Company,No,No,Yes,2,High,No,No,Yes,Yes,Yes,No,640.75
3118,26,80000,1,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,552.25
3119,40,40000,1,Private,No,No,No,Yes,Company,No,No,Yes,3,High,No,No,Yes,No,No,Yes,587
3120,35,40000,3,Other,Yes,No,No,No,Company,No,No,Yes,1,High,No,No,Yes,No,No,Yes,472
3121,42,80000,1,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,536.25
3122,55,40000,1,Private,No,No,No,Yes,Company,No,No,Yes,3,High,No,No,Yes,No,No,Yes,525.5
3123,49,60000,4,Other,Yes,No,No,No,Company,No,No,Yes,1,High,No,No,Yes,No,No,Yes,584.75
3124,65,100000,2,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,584.5
3125,33,100000,4,Other,Yes,No,No,No,Self,No,Yes,No,1,Medium,No,Yes,No,No,No,Yes,648
3126,46,40000,3,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,535.25
3127,30,40000,1,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,454.25
3128,35,60000,2,Private,No,No,No,Yes,Company,No,No,Yes,3,High,No,No,Yes,No,No,Yes,603.75
3129,37,100000,4,Other,Yes,No,No,No,Self,No,Yes,No,1,Medium,No,Yes,No,No,No,Yes,588
3130,64,60000,4,Other,Yes,No,No,No,Company,No,No,Yes,1,High,No,No,Yes,No,No,Yes,599.25
3131,50,60000,2,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,527
3132,53,60000,2,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,500
3133,32,60000,4,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,733
3134,59,60000,2,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,478.5
3135,37,40000,3,Government,No,Yes,No,No,Company,No,No,Yes,2,High,No,No,Yes,Yes,Yes,No,501
3136,64,100000,2,Other,Yes,No,No,No,Company,No,No,Yes,1,High,No,No,Yes,No,No,Yes,508.25
3137,23,40000,1,Business,No,No,Yes,No,Company,No,No,Yes,4,High,No,No,Yes,Yes,Yes,No,515.25
3138,29,80000,3,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,560.25
3139,44,40000,3,Government,No,Yes,No,No,Company,No,No,Yes,2,High,No,No,Yes,Yes,Yes,No,522
3140,55,80000,1,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,548.75
3141,53,100000,2,Other,Yes,No,No,No,Company,No,No,Yes,1,High,No,No,Yes,No,No,Yes,608.75
3142,53,100000,4,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,633
3143,33,100000,2,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,723
3144,37,40000,1,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,477.25
3145,53,100000,4,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,562
3146,39,100000,2,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,632
3147,50,40000,1,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,486.25
3148,39,60000,4,Other,Yes,No,No,No,Self,No,Yes,No,1,Medium,No,Yes,No,No,No,Yes,563
3149,42,80000,1,Government,No,Yes,No,No,Company,No,No,Yes,2,High,No,No,Yes,Yes,Yes,No,525
3150,30,60000,2,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,639
3151,57,60000,4,Other,Yes,No,No,No,Self,No,Yes,No,1,Medium,No,Yes,No,No,No,Yes,498.5
3152,58,100000,4,Business,No,No,Yes,No,Company,No,No,Yes,4,High,No,No,Yes,Yes,Yes,No,746.25
3153,31,100000,2,Government,No,Yes,No,No,Company,No,No,Yes,2,High,No,No,Yes,Yes,Yes,No,688.75
3154,37,40000,1,Other,Yes,No,No,No,Company,No,No,Yes,1,High,No,No,Yes,No,No,Yes,460
3155,58,100000,4,Business,No,No,Yes,No,Company,No,No,Yes,4,High,No,No,Yes,Yes,Yes,No,782.25
3156,40,100000,2,Government,No,Yes,No,No,Company,No,No,Yes,2,High,No,No,Yes,Yes,Yes,No,595.75
3157,45,40000,3,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,452.25
3158,32,100000,4,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,688
3159,42,40000,3,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,513.25
3160,34,40000,1,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,597.25
3161,34,60000,2,Other,Yes,No,No,No,Company,No,No,Yes,1,High,No,No,Yes,No,No,Yes,523.75
3162,54,40000,3,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,482.25
3163,43,60000,2,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,656
3164,23,60000,4,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,555.25
3165,58,80000,3,Other,Yes,No,No,No,Company,No,No,Yes,1,High,No,No,Yes,No,No,Yes,557.5
3166,37,80000,1,Private,No,No,No,Yes,Company,No,No,Yes,3,High,No,No,Yes,No,No,Yes,597
3167,43,40000,3,Business,No,No,Yes,No,Company,No,No,Yes,4,High,No,No,Yes,Yes,Yes,No,654
3168,48,80000,1,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,418.25
3169,22,40000,1,Government,No,Yes,No,No,Company,No,No,Yes,2,High,No,No,Yes,Yes,Yes,No,425.25
3170,35,80000,3,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,651.25
3171,28,100000,4,Other,Yes,No,No,No,Company,No,No,Yes,1,High,No,No,Yes,No,No,Yes,705.75
3172,51,80000,1,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,432.25
3173,47,100000,4,Other,Yes,No,No,No,Company,No,No,Yes,1,High,No,No,Yes,No,No,Yes,631.75
3174,25,100000,2,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,622
3175,39,60000,2,Government,No,Yes,No,No,Company,No,No,Yes,2,High,No,No,Yes,Yes,Yes,No,605.75
3176,63,100000,4,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,736.5
3177,29,100000,2,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,628
3178,25,60000,4,Business,No,No,Yes,No,Company,No,No,Yes,4,High,No,No,Yes,Yes,Yes,No,783.75
3179,42,100000,2,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,601
3180,46,60000,4,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,643
3181,35,40000,1,Private,No,No,No,Yes,Company,No,No,Yes,3,High,No,No,Yes,No,No,Yes,573
3182,40,80000,3,Other,Yes,No,No,No,Self,No,Yes,No,1,Medium,No,Yes,No,No,No,Yes,437.25
3183,32,100000,2,Business,No,No,Yes,No,Company,No,No,Yes,4,High,No,No,Yes,Yes,Yes,No,783.75
3184,50,40000,1,Private,No,No,No,Yes,Company,No,No,Yes,3,High,No,No,Yes,No,No,Yes,495
3185,25,100000,4,Other,Yes,No,No,No,Self,No,Yes,No,1,Medium,No,Yes,No,No,No,Yes,559
3186,47,40000,3,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,582.25
3187,57,60000,4,Other,Yes,No,No,No,Company,No,No,Yes,1,High,No,No,Yes,No,No,Yes,594.25
3188,53,100000,2,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,560
3189,34,40000,1,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,491.25
3190,52,40000,3,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,588.25
3191,55,60000,2,Government,No,Yes,No,No,Self,No,Yes,No,2,Medium,No,Yes,No,Yes,Yes,No,481.5
3192,26,60000,4,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,658
3193,57,100000,2,Other,Yes,No,No,No,Company,No,No,Yes,1,High,No,No,Yes,No,No,Yes,598.25
3194,27,100000,4,Private,No,No,No,Yes,Company,No,No,Yes,3,High,No,No,Yes,No,No,Yes,775.75
3195,42,40000,3,Government,No,Yes,No,No,Company,No,No,Yes,2,High,No,No,Yes,Yes,Yes,No,525
3196,27,40000,1,Business,No,No,Yes,No,Company,No,No,Yes,4,High,No,No,Yes,Yes,Yes,No,592
3197,43,40000,1,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,463.25
3198,22,40000,3,Other,Yes,No,No,No,Self,No,Yes,No,1,Medium,No,Yes,No,No,No,Yes,368.5
3199,32,100000,2,Business,No,No,Yes,No,Self,No,Yes,No,4,Medium,No,Yes,No,Yes,Yes,No,680
3200,47,40000,1,Private,No,No,No,Yes,Self,No,Yes,No,3,Medium,No,Yes,No,No,No,Yes,455.25
3201,59,60000,2,Business,No,No,Yes,No,Company,No,No,Yes,4,High,No,No,Yes,Yes,Yes,No,628.25
3202,30,40000,3,Other,Yes,No,No,No,Self,No,Yes,No,1,Medium,No,Yes,No,No,No,Yes,464.25
3203,26,60000,4,Government,No,Yes,No,No,Company,No,No,Yes,2,High,No,No,Yes,Yes,Yes,No,698.75
